CRT 1kb;12.272;10.093;11.172;10.752;11.468;
CRT 16kb;10.328;9.794;10.89;9.781;10.493;
CRT 128kb;10.562;10.781;10.14;10.393;10.609;
CRT 1024kb;9.375;9.248;9.484;9.359;9.218;
CRT 2048kb;9.915;8.812;9.406;8.843;9.253;
STD 1kb;10.812;10.797;10.545;10.718;11.093;
STD 16kb;10.601;9.843;9.547;10.406;10.612;
STD 128kb;9.593;10.812;9.294;10.359;10.953;
STD 1024kb;10.695;9.937;11.812;11.953;10.422;
STD 2048kb;18.312;14.732;17.14;17.774;13.578;
WIN 1kb;10.875;10.504;11.843;11.187;11.044;
WIN 16kb;10.531;9.656;10.398;9.375;10.953;
WIN 128kb;10.75;11.596;9.922;10.984;11.451;
WIN 1024kb;9.547;9.781;9.601;9.672;9.625;
WIN 2048kb;9.39;9.596;9.484;9.578;9.218;
WINMAP 1kb;5.919;5.671;5.484;5.843;5.531;
WINMAP 16kb;5.609;5.648;5.562;5.578;5.64;
WINMAP 128kb;5.64;5.625;5.629;5.718;5.484;
WINMAP 1024kb;5.865;5.468;5.625;5.849;5.406;
WINMAP 2048kb;5.546;5.39;5.343;5.687;5.351;
