CRT 1kb;9.924;10.263;9.344;8.968;11.395;
CRT 16kb;9.11;71.683;15.056;8.881;15.992;
CRT 128kb;9.941;71.108;8.421;9.733;9.267;
CRT 1024kb;6.259;7.078;7.241;6.658;6.605;
CRT 2048kb;6.378;8.416;7.106;6.105;6.415;
STD 1kb;10.944;9.309;8.979;9.293;10.479;
STD 16kb;9.093;9.232;10.168;9.295;9.196;
STD 128kb;10.345;9.02;9.538;81.873;12.293;
STD 1024kb;73.081;14.664;73.399;11.364;12.452;
STD 2048kb;11.326;11.547;74.814;11.47;11.975;
WIN 1kb;10.78;10.063;10.863;10.918;10.645;
WIN 16kb;10.988;10.503;10.051;9.894;10.601;
WIN 128kb;7.917;8.827;8.649;10.062;8.336;
WIN 1024kb;8.972;7.094;6.504;7.15;7.236;
WIN 2048kb;6.179;7.137;7.199;6.183;10.887;
WINMAP 1kb;8.282;12.527;8.74;8.211;6.464;
WINMAP 16kb;6.712;6.082;6.486;6.833;5.988;
WINMAP 128kb;6.423;6.471;6.098;6.351;6.438;
WINMAP 1024kb;6.48;6.831;6.038;7.196;6.47;
WINMAP 2048kb;6.493;10.619;8.62;6.141;8.622;
